date,direction,entry_price,exit_price,stop_loss,target_1,target_2,range_high,range_low,exit_reason,pnl,pnl_pct,momentum,entry_time,exit_time,is_winner,sig_price_vs_range,sig_intraday_rsi,sig_intraday_macd,sig_vwap,sig_volume,sig_or_candle,sig_vix,sig_gap_open,sig_prev_day_sr,sig_ema_cross,sig_range_width
2025-08-26,skip,0.0,0.0,0.0,0.0,0.0,227.0500030517578,224.69000244140625,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,0,0,0,0,-10,8
2025-08-27,call,230.29,230.44000244140625,229.26,231.06,231.83,230.25,228.2949981689453,time_stop,0.15,0.0651,28,10:30,15:30,True,0,0,0,15,5,10,0,0,0,-10,8
2025-08-28,skip,0.0,0.0,0.0,0.0,0.0,230.89999389648438,229.3350067138672,no_breakout,0.0,0.0,20,,,False,0,0,0,15,5,0,0,10,-8,-10,8
2025-08-29,skip,0.0,0.0,0.0,0.0,0.0,233.36129760742188,231.3699951171875,no_breakout,0.0,0.0,10,,,False,0,0,0,15,5,0,0,0,-8,-10,8
2025-09-02,skip,0.0,0.0,0.0,0.0,0.0,230.77999877929688,227.69000244140625,no_breakout,0.0,0.0,18,,,False,0,0,0,15,5,10,0,-10,0,-10,8
2025-09-03,call,238.03,238.49000549316406,236.15,239.44,240.85,237.97000122070312,234.3699951171875,eod,0.46,0.1933,28,15:30,15:30,True,0,0,0,15,5,0,0,10,0,-10,8
2025-09-04,put,236.99,238.49,238.49,235.86,234.74,239.89320373535156,237.0399932861328,stop,-1.5,-0.6329,-38,11:30,14:30,False,0,0,0,-15,5,0,0,0,0,-10,8
2025-09-05,put,239.06,240.24,240.24,238.18,237.29,241.32000732421875,239.1199951171875,stop,-1.18,-0.4936,-48,10:30,11:30,False,0,0,0,-15,5,-10,0,0,0,-10,8
2025-09-08,put,238.69,238.1,239.47,238.1,237.52,240.14999389648438,238.74000549316406,target_1,0.59,0.2472,-30,10:30,11:30,True,0,0,0,-15,5,0,0,0,0,-10,0
2025-09-09,put,235.98,237.08,237.08,235.15,234.33,238.0,236.0749969482422,stop,-1.1,-0.4661,-27,10:30,12:30,False,0,0,0,-15,0,-10,0,0,8,-10,0
2025-09-10,put,227.49,226.77999877929688,229.97,225.63,223.77,232.33999633789062,227.5500030517578,time_stop,0.71,0.3121,-58,10:30,15:30,True,0,0,0,-15,5,-10,0,-10,0,-10,8
2025-09-11,call,229.23,230.23,227.9,230.23,231.22,229.18499755859375,226.64999389648438,target_1,1.0,0.4362,28,10:30,15:30,True,0,0,0,15,5,10,0,0,0,-10,8
2025-09-12,call,234.13,234.05999755859375,231.53,236.08,238.03,234.0780029296875,229.02000427246094,time_stop,-0.07,-0.0299,28,10:30,15:30,False,0,0,0,15,5,10,0,0,0,-10,8
2025-09-15,skip,0.0,0.0,0.0,0.0,0.0,238.19000244140625,235.02999877929688,no_entry,0.0,0.0,-28,,,False,0,0,0,-15,5,0,0,10,0,-10,8
